gesture,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
Up,360.0722885131836,446.489953994751,305.643253326416,420.91784477233887,258.7564468383789,347.29599952697754,279.38385009765625,278.21422576904297,322.7398681640625,235.05921363830566,266.0554885864258,238.02836894989014,249.2790985107422,139.82477188110352,243.92145156860352,85.78859567642212,244.55318450927734,34.51575994491577,325.3248977661133,241.55470848083496,316.4837074279785,171.45509719848633,301.9232749938965,243.25066566467285,297.52685546875,287.3493003845215,379.0814208984375,261.53337478637695,360.58631896972656,239.31622982025146,342.00313568115234,316.8643569946289,339.0126419067383,348.01371574401855,426.4724349975586,292.25452423095703,400.24974822998047,286.11608505249023,378.5427474975586,344.8967456817627,373.58802795410156,368.87203216552734
Up,442.17594146728516,448.52980613708496,390.65929412841797,417.3701763153076,356.0077667236328,341.22118949890137,389.32777404785156,276.7590808868408,433.77540588378906,236.99605464935303,362.5768280029297,235.57092189788818,349.7366714477539,143.78657341003418,345.89378356933594,89.94988203048706,346.41857147216797,40.480839014053345,421.57894134521484,243.85940551757812,429.46266174316406,170.7310438156128,414.0638732910156,231.8591594696045,404.2593765258789,270.73808670043945,475.87879180908203,270.14379501342773,475.40958404541016,245.89622497558594,445.4556655883789,318.86521339416504,429.1474914550781,347.2563171386719,521.741943359375,306.89921379089355,510.22518157958984,298.42881202697754,480.8169937133789,351.3866901397705,464.6561050415039,371.8612289428711
Up,529.5269775390625,459.46452140808105,474.32716369628906,422.35676765441895,447.24544525146484,347.327356338501,490.460205078125,286.0018730163574,539.6015167236328,245.71901321411133,454.11399841308594,243.04658889770508,446.49391174316406,145.461745262146,446.75689697265625,85.01900911331177,450.1361846923828,30.645185708999634,514.9604797363281,254.77343559265137,532.9419326782227,181.8707513809204,514.0599822998047,243.56297492980957,498.62003326416016,287.77496337890625,568.7697601318359,285.50929069519043,574.9003601074219,257.4736976623535,542.0120620727539,324.74724769592285,523.3223724365234,354.4760513305664,611.5248107910156,327.0348358154297,607.5240325927734,308.534460067749,574.0766525268555,355.1891040802002,553.3108520507812,377.3555088043213
Up,285.25028228759766,447.88636207580566,224.64811325073242,417.48424530029297,174.47179794311523,350.7758045196533,185.15047073364258,288.4489059448242,221.22350692749023,242.53575325012207,195.38694381713867,232.50929832458496,176.23403549194336,137.39479064941406,166.88941955566406,81.90480709075928,166.32551193237305,31.0591721534729,255.34252166748047,235.34696102142334,237.30390548706055,175.92172622680664,217.49149322509766,248.75126838684082,215.3704071044922,299.83317375183105,307.6203155517578,257.0595359802246,274.5341110229492,244.82179641723633,253.16694259643555,317.58862495422363,254.56663131713867,352.0275592803955,352.05657958984375,291.1750316619873,312.88673400878906,296.15942001342773,289.64075088500977,346.8750858306885,288.8166618347168,368.3353900909424
Up,247.48489379882812,447.4734306335449,179.3023681640625,417.3076057434082,124.95223999023438,351.02222442626953,127.2341251373291,286.53711318969727,162.0552635192871,238.98864269256592,146.3316822052002,231.88536643981934,121.23440742492676,137.2208833694458,107.98208236694336,83.47958564758301,104.36853408813477,33.083728551864624,205.95779418945312,229.5313024520874,176.11230850219727,172.52124309539795,159.6836757659912,244.03790473937988,162.66433715820312,292.6399326324463,257.37382888793945,248.23010444641113,211.7332649230957,248.5923957824707,196.5717887878418,321.00096702575684,203.75228881835938,352.69683837890625,299.73676681518555,280.79541206359863,252.23737716674805,297.0293998718262,232.53318786621094,349.2433834075928,234.10442352294922,370.4578685760498
Up,317.8647232055664,438.58131408691406,260.516357421875,408.9572811126709,216.97099685668945,343.5346984863281,232.31945037841797,282.55934715270996,267.33734130859375,237.26779460906982,233.2408905029297,226.67348384857178,219.8423957824707,128.86427879333496,214.3458366394043,73.87404441833496,215.6422996520996,23.26603889465332,292.9380226135254,231.5738010406494,279.2107391357422,170.47918796539307,260.27923583984375,243.73950004577637,256.95627212524414,288.69117736816406,344.9764633178711,253.8860034942627,317.9340934753418,241.94578170776367,296.1099433898926,317.96030044555664,295.9156608581543,348.2113552093506,389.4830322265625,287.4569892883301,357.4519729614258,288.88864517211914,331.6410446166992,342.6060390472412,327.027587890625,362.1105194091797
Up,394.3645477294922,440.4383182525635,342.6760482788086,409.5124626159668,302.04233169555664,338.57251167297363,328.97159576416016,276.7482376098633,372.1550750732422,237.64207363128662,317.68070220947266,230.67649841308594,305.5396270751953,132.60241985321045,302.4957466125488,76.09680891036987,305.16977310180664,22.92819857597351,375.81310272216797,239.397554397583,371.87381744384766,175.3561019897461,355.8856964111328,247.78801918029785,351.55853271484375,290.6092071533203,428.66329193115234,264.18665885925293,416.17576599121094,241.39397621154785,389.7381591796875,315.30492782592773,380.9136962890625,345.0912380218506,474.82418060302734,298.22373390197754,455.6199264526367,286.9527053833008,425.5784225463867,338.75807762145996,412.71175384521484,360.3408622741699
Up,484.2142105102539,443.4810733795166,431.70494079589844,407.60324478149414,404.59178924560547,335.5388832092285,445.3566360473633,276.666898727417,494.4340515136719,239.5458698272705,416.05709075927734,230.94141483306885,412.4042510986328,136.37615203857422,415.35533905029297,78.4924864768982,420.66261291503906,26.145111322402954,473.7905502319336,243.00793647766113,489.9543762207031,174.1144323348999,471.3764953613281,235.0699281692505,456.7676544189453,279.10669326782227,524.2366027832031,272.4796199798584,529.3218612670898,245.2987003326416,497.97969818115234,309.63478088378906,480.56026458740234,337.65950202941895,564.7686767578125,312.0732021331787,560.3993225097656,295.2711009979248,527.7648544311523,341.3901901245117,507.6102066040039,362.33479499816895
Up,485.87425231933594,334.6473026275635,463.3900451660156,321.9169807434082,447.8532409667969,293.92324447631836,460.71075439453125,270.29980659484863,482.3934555053711,257.71087646484375,457.2792434692383,254.2536735534668,454.86839294433594,214.88988876342773,456.52637481689453,193.1493330001831,459.2184829711914,173.20056438446045,480.11070251464844,258.38029861450195,481.678466796875,236.19774341583252,474.40208435058594,264.12720680236816,471.28318786621094,281.2964630126953,499.8195266723633,268.76123428344727,497.58838653564453,259.9664783477783,485.92445373535156,287.5672245025635,482.2855758666992,299.55113410949707,516.5972518920898,283.03173065185547,511.18778228759766,278.2200622558594,498.790283203125,297.41394996643066,493.7255859375,306.4221382141113
Up,400.9947967529297,316.3845920562744,374.3644714355469,304.55406188964844,353.99024963378906,276.58352851867676,359.833984375,250.08625030517578,377.1782684326172,235.26972770690918,360.14293670654297,235.6907844543457,356.1640167236328,197.11481094360352,356.6332244873047,175.12377262115479,358.5498809814453,155.67625522613525,382.8662109375,236.58003330230713,376.9367218017578,215.81664562225342,371.3805389404297,242.4158477783203,370.04791259765625,261.20189666748047,402.96985626220703,244.47964668273926,392.60059356689453,242.30260848999023,385.43094635009766,268.7204360961914,384.4416809082031,281.52153968811035,420.1275634765625,257.3129940032959,407.1779251098633,262.16254234313965,396.7261505126953,281.2266540527344,392.5265121459961,289.6917915344238
